36.163,34.38,1
36.367,34.528,1
34.038,32.33,1
33.725,33.651,1
32.921,35.697,1
31.76,37.266,1
35.007,35.704,1
31.474,37.747,1
37.625,33.933,1
33.358,36.868,1
35.368,36.264,1
33.752,35.021,1
37.566,34.875,1
34.739,36.201,1
31.086,36.404,1
36.76,34.116,1
37.457,34.056,1
36.847,35.115,1
35.92,35.851,1
32.449,34.158,1
33.319,38.777,1
32.381,33.627,1
31.491,35.83,1
32.62,39.295,1
31.201,38.076,1
34.03,36.148,1
36.241,33.301,1
33.499,38.048,1
33.306,34.755,1
35.335,37.553,1
37.345,35.107,1
36.867,33.594,1
36.235,36.514,1
34.166,36.996,1
32.018,38.674,1
34.126,36.229,1
34.195,36.77,1
36.627,32.69,1
32.968,35.61,1
35.727,33.175,1
34.083,34.081,1
36.862,32.724,1
36.243,32.209,1
36.91,34.799,1
31.714,37.015,1
34.496,37.416,1
32.565,36.281,1
33.399,35.257,1
31.104,37.346,1
32.751,37.656,1
35.269,32.858,1
34.346,34.28,1
34.613,32.853,1
33.509,36.108,1
33.261,36.482,1
35.442,37.853,1
33.621,36.222,1
37.321,32.202,1
35.875,35.437,1
35.689,32.838,1
32.011,33.641,1
32.008,36.555,1
34.916,31.37,1
31.955,37.404,1
34.365,35.15,1
32.785,33.836,1
36.987,31.785,1
31.874,36.069,1
34.524,33.562,1
34.593,33.384,1
31.957,38.031,1
37.079,30.851,1
34.105,34.147,1
35.731,36.731,1
37.738,33.546,1
36.527,36.503,1
34.213,35.915,1
34.05,36.617,1
36.093,36.457,1
33.935,37.202,1
33.201,37.248,1
35.132,32.093,1
36.285,34.903,1
38.287,32.723,1
35.907,33.842,1
34.927,38.205,1
37.608,36.044,1
32.17,36.126,1
35.309,33.469,1
34.44,34.912,1
35.585,32.885,1
33.66,34.528,1
34.559,36.006,1
37.199,33.324,1
34.523,34.978,1
36.4,33.745,1
31.599,35.299,1
34.771,34.647,1
34.945,31.253,1
36.096,35.934,1
36.808,34.509,1
32.415,36.369,1
32.416,36.273,1
36.45,35.874,1
37.912,36.274,1
37.25,32.615,1
35.626,34.786,1
37.761,33.175,1
36.918,32.703,1
36.932,34.253,1
34.722,38.024,1
36.179,36.064,1
36.208,34.219,1
34.637,36.518,1
35.714,35.249,1
36.342,35.479,1
32.991,36.307,1
37.037,35.133,1
37.678,32.513,1
35.149,34.994,1
33.53,34.565,1
34.053,36.174,1
35.403,35.865,1
36.871,31.88,1
32.569,33.453,1
35.603,35.656,1
37.278,33.603,1
35.513,35.595,1
37.148,37.292,1
35.106,38.329,1
32.575,36.652,1
35.404,37.251,1
34.08,34.747,1
34.651,35.709,1
38.421,32.807,1
34.209,35.485,1
36.302,32.4,1
33.54,36.654,1
34.493,33.029,1
32.988,37.235,1
34.811,38.201,1
31.819,37.536,1
35.348,36.411,1
32.668,35.643,1
35.228,37.202,1
36.005,34.692,1
37.282,35.528,1
37.046,33.867,1
38.083,31.409,1
39.056,33.576,1
35.575,32.826,1
32.69,35.529,1
33.408,33.522,1
35.791,37.697,1
36.768,34.673,1
35.927,35.211,1
32.998,35.208,1
33.041,36.599,1
35.891,36.266,1
36.448,33.661,1
31.834,36.698,1
37.283,32.166,1
37.557,32.692,1
33.066,35.909,1
34.432,32.517,1
32.88,34.625,1
33.673,36.44,1
37.667,32.112,1
33.723,36.053,1
35.752,32.872,1
37.107,34.128,1
31.435,36.996,1
34.705,36.3,1
32.285,34.201,1
32.177,38.562,1
